Territory;Year;Total;Urban;Rural
Utena county;2004;178637;96926;81711
Utena county;2003;181638;98520;83118
Utena county;2002;183973;99718;84255
Utena county;2001;186368;101034;85334
Utena county;2000;188621;;
Utena county;1999;190796;;
Utena county;1998;193248;;
Utena county;1997;195468;;
Utena county;1996;197005;;
Utena d. mun.;2018;37914;25869;12045
Utena d. mun.;2017;38836;26476;12360
Utena d. mun.;2016;39826;27179;12647
Utena d. mun.;2015;40454;27041;13413
Utena d. mun.;2014;41008;27484;13524
Utena d. mun.;2013;41751;28015;13736
Utena d. mun.;2012;42531;28581;13950
Utena d. mun.;2011;43396;29075;14321
Utena d. mun.;2010;44636;29915;14721
Utena d. mun.;2009;45558;30661;14897
Utena d. mun.;2008;46056;30901;15155
Utena d. mun.;2007;46783;31371;15412
Utena d. mun.;2006;47296;31700;15596
Utena d. mun.;2005;48139;32301;15838
Utena d. mun.;2004;48800;32868;15932
Utena d. mun.;2003;49439;33390;16049
Utena d. mun.;2002;49790;33717;16073
Utena d. mun.;2001;50176;33890;16286
Utena d. mun.;2000;50506;;
Utena d. mun.;1999;50976;;
Utena d. mun.;1998;51627;;
Utena d. mun.;1997;52266;;
Utena d. mun.;1996;52802;;
Varėna d. mun.;2018;21764;8195;13569
Varėna d. mun.;2017;22399;8444;13955
Varėna d. mun.;2016;23009;8777;14232
Varėna d. mun.;2015;23528;8921;14607
Varėna d. mun.;2014;23950;8974;14976
Varėna d. mun.;2013;24380;9059;15321
Varėna d. mun.;2012;24946;9153;15793
Varėna d. mun.;2011;25506;9244;16262
Varėna d. mun.;2010;26417;9594;16823
Varėna d. mun.;2009;26931;9735;17196
Varėna d. mun.;2008;27531;9897;17634
Varėna d. mun.;2007;28099;10036;18063
Varėna d. mun.;2006;28742;10184;18558
Varėna d. mun.;2005;29427;10346;19081
Varėna d. mun.;2004;30071;10497;19574
Varėna d. mun.;2003;30556;10638;19918
Varėna d. mun.;2002;30873;10710;20163
Varėna d. mun.;2001;31204;10877;20327
Varėna d. mun.;2000;31547;;
Varėna d. mun.;1999;31800;;
Varėna d. mun.;1998;32137;;
Varėna d. mun.;1997;32508;;
Varėna d. mun.;1996;32683;;
Vilkaviškis d. mun.;2018;36108;15386;20722
Vilkaviškis d. mun.;2017;37473;15926;21547
Vilkaviškis d. mun.;2016;38595;16509;22086
Vilkaviškis d. mun.;2015;39465;16900;22565
Vilkaviškis d. mun.;2014;40258;17278;22980
Vilkaviškis d. mun.;2013;41055;17553;23502
Vilkaviškis d. mun.;2012;41833;17930;23903
Vilkaviškis d. mun.;2011;42710;18374;24336
Vilkaviškis d. mun.;2010;44128;19146;24982
Vilkaviškis d. mun.;2009;44899;19457;25442
Vilkaviškis d. mun.;2008;45488;19631;25857
Vilkaviškis d. mun.;2007;46239;19852;26387
Vilkaviškis d. mun.;2006;47112;20133;26979
Vilkaviškis d. mun.;2005;48338;20579;27759
Vilkaviškis d. mun.;2004;49137;20799;28338
Vilkaviškis d. mun.;2003;49622;20976;28646
Vilkaviškis d. mun.;2002;49951;21092;28859
Vilkaviškis d. mun.;2001;50236;21199;29037
Vilkaviškis d. mun.;2000;50515;;
Vilkaviškis d. mun.;1999;50669;;
Vilkaviškis d. mun.;1998;50931;;
Vilkaviškis d. mun.;1997;51112;;
Vilkaviškis d. mun.;1996;51336;;
Vilnius c. mun.;2018;547484;547272;212
Vilnius c. mun.;2017;545280;545033;247
Vilnius c. mun.;2016;543493;543229;264
Vilnius c. mun.;2015;542626;542343;283
Vilnius c. mun.;2014;539707;539416;291
Vilnius c. mun.;2013;537152;536840;312
Vilnius c. mun.;2012;533279;532936;343
Vilnius c. mun.;2011;536127;535764;363
Vilnius c. mun.;2010;543191;542828;363
Vilnius c. mun.;2009;542969;542661;308
Vilnius c. mun.;2008;541596;541267;329
Vilnius c. mun.;2007;541732;541394;338
Vilnius c. mun.;2006;542525;542172;353
Vilnius c. mun.;2005;546773;546403;370
Vilnius c. mun.;2004;548729;548418;311
Vilnius c. mun.;2003;550213;549962;251
Vilnius c. mun.;2002;550924;550714;210
Vilnius c. mun.;2001;554281;554104;177
Vilnius c. mun.;2000;558816;;
Vilnius c. mun.;1999;562353;;
Vilnius c. mun.;1998;565881;;
Vilnius c. mun.;1997;571164;;
Vilnius c. mun.;1996;578327;;
Vilnius county;2018;805367;635886;169481
Vilnius county;2017;805173;635086;170087
Vilnius county;2016;805380;635174;170206
Vilnius county;2015;807523;635732;171791
Vilnius county;2014;806106;633652;172454
Vilnius county;2013;806308;632383;173925
Vilnius county;2012;805915;629869;176046
Vilnius county;2011;811515;634326;177189
Vilnius county;2010;824193;644480;179713
Vilnius county;2009;826445;645904;180541
Vilnius county;2008;826306;645571;180735
Vilnius county;2007;828191;646696;181495
Vilnius county;2006;831237;648646;182591
Vilnius county;2005;838556;654566;183990
Vilnius county;2004;841748;657771;183977
Vilnius county;2003;843320;660236;183084
Vilnius county;2002;845292;661710;183582
Vilnius county;2001;850668;666231;184437
Vilnius county;2000;855876;;
Vilnius county;1999;859964;;
Vilnius county;1998;864906;;
Vilnius county;1997;870265;;
Vilnius county;1996;877569;;
Vilnius d. mun.;2018;96575;4614;91961
Vilnius d. mun.;2017;95940;4677;91263
Vilnius d. mun.;2016;95189;4745;90444
Vilnius d. mun.;2015;95620;4866;90754
Vilnius d. mun.;2014;95031;4933;90098
Vilnius d. mun.;2013;95035;4992;90043
Vilnius d. mun.;2012;95650;4993;90657
Vilnius d. mun.;2011;95313;5057;90256
Vilnius d. mun.;2010;95939;5183;90756
Vilnius d. mun.;2009;95700;5250;90450
Vilnius d. mun.;2008;94669;5293;89376
Vilnius d. mun.;2007;93835;5377;88458
Vilnius d. mun.;2006;93324;5478;87846
Vilnius d. mun.;2005;92576;5598;86978
Vilnius d. mun.;2004;91284;5716;85568
Vilnius d. mun.;2003;89405;5767;83638
Vilnius d. mun.;2002;88807;5790;83017
Vilnius d. mun.;2001;88492;5895;82597
Vilnius d. mun.;2000;88091;;
Vilnius d. mun.;1999;87397;;
Vilnius d. mun.;1998;86972;;
Vilnius d. mun.;1997;85581;;
Vilnius d. mun.;1996;84550;;
Visaginas mun.;2018;18686;18514;172
Visaginas mun.;2017;19178;19022;156
Visaginas mun.;2016;19774;19630;144
Visaginas mun.;2015;20249;20144;105
Visaginas mun.;2014;20627;20532;95
Visaginas mun.;2013;21237;20988;249
Visaginas mun.;2012;21921;21688;233
Visaginas mun.;2011;22708;22485;223
Visaginas mun.;2010;23992;23790;202
Visaginas mun.;2009;24644;24395;249
Visaginas mun.;2008;25232;24974;258
Visaginas mun.;2007;25897;25618;279
Visaginas mun.;2006;26421;26144;277
Visaginas mun.;2005;27302;27021;281
Visaginas mun.;2004;27915;27627;288
Visaginas mun.;2003;28066;28066;
Visaginas mun.;2002;28718;28718;
Visaginas mun.;2001;29697;29697;
Visaginas mun.;2000;30797;;
Visaginas mun.;1999;31214;;
Visaginas mun.;1998;31600;;
Visaginas mun.;1997;31585;;
Visaginas mun.;1996;31340;;
Zarasai d. mun.;2018;15668;6832;8836
Zarasai d. mun.;2017;16169;7035;9134
Zarasai d. mun.;2016;16636;7229;9407
Zarasai d. mun.;2015;17035;7351;9684
Zarasai d. mun.;2014;17316;7428;9888
Zarasai d. mun.;2013;17693;7641;10052
Zarasai d. mun.;2012;18013;7772;10241
Zarasai d. mun.;2011;18472;7910;10562
Zarasai d. mun.;2010;19013;8157;10856
Zarasai d. mun.;2009;19409;8263;11146
Zarasai d. mun.;2008;19891;8428;11463
Zarasai d. mun.;2007;20376;8557;11819
Zarasai d. mun.;2006;20816;8674;12142
Zarasai d. mun.;2005;21386;8771;12615
Zarasai d. mun.;2004;21927;8946;12981
Zarasai d. mun.;2003;22394;9129;13265
Zarasai d. mun.;2002;22647;9220;13427
Zarasai d. mun.;2001;22863;9272;13591
Zarasai d. mun.;2000;23008;;
Zarasai d. mun.;1999;23381;;
Zarasai d. mun.;1998;23782;;
Zarasai d. mun.;1997;24129;;
Zarasai d. mun.;1996;24424;;
