Telšiai county;2016;29.7;27.5;34;31
Telšiai county;2017;30.3;28.1;34;31
Utena county;2000;;;;
Utena county;2001;26.1;23.7;29;26
Utena county;2002;26.3;23.9;30;27
Utena county;2003;26.6;24.3;30;27
Utena county;2004;27;24.5;31;28
Utena county;2005;27;25;31;28
Utena county;2006;27.4;25.1;31;28
Utena county;2007;27.7;25.5;31;28
Utena county;2008;28;25.8;31;28
Utena county;2009;28.5;26.1;31;29
Utena county;2010;28.2;26.2;31;29
Utena county;2011;28.8;26.4;32;29
Utena county;2012;28.6;26.5;31;29
Utena county;2013;29.2;26.9;32;29
Utena county;2014;29.3;27.3;32;30
Utena county;2015;29.6;27.6;32;30
Utena county;2016;30.4;28;34;31
Utena county;2017;30.6;28.2;33;31
