Alytus t. mun.;1994;1045;;
Alytus t. mun.;1995;954;;
Alytus t. mun.;1996;933;;
Alytus t. mun.;1997;884;;
Alytus t. mun.;1998;840;;
Alytus t. mun.;1999;861;;
Alytus t. mun.;2000;765;404;361
Alytus t. mun.;2001;656;339;317
Alytus t. mun.;2002;636;339;297
Alytus t. mun.;2003;657;344;313
Alytus t. mun.;2004;605;307;298
Alytus t. mun.;2005;525;274;251
Alytus t. mun.;2006;593;294;299
Alytus t. mun.;2007;540;274;266
Alytus t. mun.;2008;536;275;261
Alytus t. mun.;2009;560;283;277
Alytus t. mun.;2010;475;248;227
Alytus t. mun.;2011;499;252;247
Alytus t. mun.;2012;509;247;262
Alytus t. mun.;2013;463;246;217
Alytus t. mun.;2014;502;244;258
Alytus t. mun.;2015;508;256;252
Alytus t. mun.;2016;485;262;223
Alytus t. mun.;2017;491;254;237
Alytus d. mun.;1994;353;;
Alytus d. mun.;1995;388;;
Alytus d. mun.;1996;315;;
Alytus d. mun.;1997;354;;
Alytus d. mun.;1998;352;;
Alytus d. mun.;1999;337;;
Alytus d. mun.;2000;331;157;174
Alytus d. mun.;2001;332;167;165
Alytus d. mun.;2002;268;134;134
Alytus d. mun.;2003;296;152;144
Alytus d. mun.;2004;254;139;115
Alytus d. mun.;2005;275;132;143
Alytus d. mun.;2006;246;128;118
Alytus d. mun.;2007;245;117;128
Alytus d. mun.;2008;226;130;96
Alytus d. mun.;2009;243;119;124
Alytus d. mun.;2010;245;132;113
Alytus d. mun.;2011;239;137;102
Alytus d. mun.;2012;234;117;117
Alytus d. mun.;2013;259;133;126
Alytus d. mun.;2014;240;113;127
Alytus d. mun.;2015;240;111;129
Alytus d. mun.;2016;209;100;109
Alytus d. mun.;2017;235;115;120
Druskininkai mun.;1994;353;;
Druskininkai mun.;1995;316;;
Druskininkai mun.;1996;265;;
Druskininkai mun.;1997;247;;
Druskininkai mun.;1998;239;;
Druskininkai mun.;1999;242;;
Druskininkai mun.;2000;189;88;101
Druskininkai mun.;2001;189;93;96
Druskininkai mun.;2002;154;75;79
Druskininkai mun.;2003;167;89;78
